,meshL_x,meshL_y,meshR_x,meshR_y,ref_x,ref_y,ref_z,disp01_x,disp01_y,disp01_z,disp01
919,1024.0,603.0,1030.3442,573.844,-1.8112185,-3.7352195,36.949768,-0.31717682,-0.2662487,1.1741219,1.2450106
920,1044.0,603.0,1048.6328,572.65063,-1.656587,-3.73926,36.988617,-0.317356,-0.26626754,1.1744995,1.2454165
921,1064.0,603.0,1067.0233,571.4755,-1.5016372,-3.7432215,37.02765,-0.31752622,-0.26628184,1.174778,1.2457256
922,1084.0,603.0,1085.5026,570.29785,-1.3463571,-3.7471685,37.066673,-0.3177358,-0.2663355,1.1750679,1.246064
923,1105.0,603.0,1105.019,569.04236,-1.1829631,-3.7513838,37.107876,-0.31790972,-0.26635504,1.1754112,1.2464362
924,1125.0,603.0,1123.6901,567.83685,-1.0270054,-3.7554011,37.14699,-0.31801283,-0.26636887,1.1756859,1.2467245
925,1145.0,603.0,1142.4443,566.6299,-0.8707147,-3.7593899,37.185993,-0.31817704,-0.266387,1.1759644,1.2470328
926,1165.0,603.0,1161.3022,565.4353,-0.7140993,-3.76332,37.22515,-0.31831145,-0.26637506,1.1760483,1.2471437
927,1186.0,603.0,1181.2086,564.1631,-0.5492961,-3.7674983,37.266346,-0.31838334,-0.26635003,1.1760864,1.2471926
928,1206.0,603.0,1200.2533,562.94226,-0.39199853,-3.7714765,37.305447,-0.3184666,-0.2663448,1.1761894,1.2473099
929,1226.0,603.0,1219.4261,561.7133,-0.23437274,-3.7755046,37.345005,-0.31856227,-0.26635885,1.1762466,1.2473913
930,1247.0,603.0,1239.6682,560.41394,-0.068505265,-3.7797523,37.386642,-0.31866875,-0.26635933,1.1762848,1.2474545
931,1267.0,603.0,1259.0709,559.1763,0.089807704,-3.7838051,37.42665,-0.31874347,-0.26635432,1.1764259,1.2476057
932,1287.0,603.0,1278.5573,557.9186,0.24845994,-3.787895,37.46648,-0.31877965,-0.26633096,1.1763802,1.2475668
933,1307.0,603.0,1298.173,556.67865,0.4074506,-3.7919295,37.506733,-0.31881577,-0.26631618,1.1763268,1.2475225
934,1328.0,603.0,1318.9036,555.3599,0.5747644,-3.7962387,37.549374,-0.31888047,-0.26629567,1.176384,1.2475886
935,1348.0,603.0,1338.7665,554.0806,0.73446983,-3.800429,37.590218,-0.31890985,-0.26623607,1.1762466,1.2474539
936,1368.0,603.0,1358.7913,553.1363,0.8944958,-3.8033717,37.631878,-0.3191607,-0.26652884,1.1771355,1.2484186
937,456.0,624.0,550.45795,623.51746,-6.078002,-3.4725237,35.921227,-0.30896425,-0.2645123,1.156147,1.2256025
938,537.0,624.0,610.55054,619.74066,-5.474807,-3.4802752,36.003174,-0.3106346,-0.26440167,1.1605682,1.230171
939,557.0,624.0,626.08057,618.88544,-5.3265367,-3.4824803,36.030758,-0.31309414,-0.26549244,1.1749611,1.2446074
940,578.0,624.0,643.3137,617.8071,-5.1723037,-3.486586,36.071724,-0.31405115,-0.2660489,1.1801376,1.249854
941,598.0,624.0,661.16235,617.04224,-5.0277815,-3.4911065,36.12991,-0.31244564,-0.2651651,1.1673317,1.2371734
942,618.0,624.0,677.7732,616.1199,-4.8802433,-3.494606,36.16956,-0.31201506,-0.26484752,1.1624451,1.2323864
943,638.0,624.0,692.946,614.79694,-4.729534,-3.4978337,36.18793,-0.31224823,-0.26517534,1.1630325,1.23307
944,659.0,624.0,710.9782,613.8644,-4.5747724,-3.5018585,36.235622,-0.3125391,-0.26529145,1.1637955,1.2338883
945,679.0,624.0,729.6986,612.79987,-4.429482,-3.5082242,36.301636,-0.3127823,-0.26517963,1.16288,1.2330624
946,699.0,624.0,746.6599,611.88654,-4.2806067,-3.5116577,36.341846,-0.31348133,-0.26568604,1.1662216,1.2365
947,720.0,624.0,764.8334,610.82104,-4.1243544,-3.516025,36.38799,-0.31390667,-0.2658298,1.167263,1.2376211
948,740.0,624.0,781.77576,609.2104,-3.9744058,-3.5220327,36.425697,-0.31486607,-0.26675153,1.1739998,1.2444166
949,760.0,624.0,796.2138,608.74164,-3.8204918,-3.5201714,36.427353,-0.31667137,-0.26672554,1.1900558,1.2600223
950,780.0,624.0,815.7876,608.02246,-3.6736488,-3.5255823,36.499546,-0.3142743,-0.26564312,1.1654015,1.2359188
951,801.0,624.0,833.2669,606.5501,-3.514471,-3.5302355,36.53132,-0.31491876,-0.2660296,1.1694946,1.2400255
952,821.0,624.0,849.0566,605.37897,-3.3614395,-3.5325503,36.548557,-0.31769395,-0.26807666,1.1961479,1.2663193
953,841.0,624.0,870.48834,604.79126,-3.2151256,-3.5393455,36.64297,-0.31579828,-0.2662804,1.1716118,1.2422994
954,861.0,624.0,884.6721,603.24774,-3.0593772,-3.5409436,36.635696,-0.3155744,-0.26607776,1.1708488,1.2414796
955,882.0,624.0,903.39105,602.044,-2.9000714,-3.5455198,36.67989,-0.3158307,-0.2661214,1.1712952,1.2419751
956,902.0,624.0,920.949,600.87384,-2.7476156,-3.5495145,36.71707,-0.31803083,-0.2670586,1.1951485,1.2652446
957,922.0,624.0,940.0813,600.0354,-2.5963423,-3.5539806,36.774796,-0.31631088,-0.26602483,1.1713295,1.242109
958,943.0,624.0,957.48926,598.9617,-2.4344196,-3.5560322,36.797207,-0.31649303,-0.26628613,1.1728592,1.2436538
959,963.0,624.0,975.3582,597.82806,-2.2810402,-3.5598814,36.835133,-0.31669474,-0.26630545,1.1733894,1.2442093
960,983.0,624.0,993.81824,596.735,-2.1277468,-3.5641613,36.879982,-0.3168528,-0.26626801,1.172493,1.2433962
